Name,Identity,Birth place,Publisher,Height,Weight,Gender,First appearance,Eye color,Hair color,Strength,Intelligence
Molten Man,Mark Raxton,,Marvel Comics,196.96,248.27,M,1965.0,Gold,Gold,75.0,average
Monarch,Nathaniel Christopher Adam,,DC Comics,193.57,90.72000000000001,M,1987.0,Blue,White,100.0,high
Mogo,Mogo,,DC Comics,,,M,1985.0,,,,
MODOK,George Tarleton,,Marvel Comics,366.2,338.21,M,,White,Brownn,20.0,high
Mohinder Suresh,Mohinder Suresh,India,NBC - Heroes,,,M,,,,,
Mockingbird,Barbara Morse,"San Diego, California",Marvel Comics,175.58,61.33,F,1971.0,Blue,Blond,35.0,good
Moloch,Edgar William Jacobi,,DC Comics,,,M,,,,,
Mister Zsasz,Victor Zsasz,,DC Comics,,,M,,Blue,Blond,25.0,high
Mister Sinister,Nathaniel Essex,"London, England ",Marvel Comics,196.89,128.37,M,1987.0,Red,Black,50.0,high
Mister Mxyzptlk,Mr. Mxyzptlk,,DC Comics,,,M,,,,85.0,high
Mister Freeze,Victor Fries,,DC Comics,183.59,86.47,M,1959.0,,,35.0,good
Mister Fantastic,Reed Richards,"Central City, California ",Marvel Comics,185.01,81.68,M,,Brown,Brown,10.0,high
Mimic,Calvin Montgomery Rankin,"Passiac, New Jersey ",Marvel Comics,188.79,101.48,M,,Brown,Brown,70.0,good
Miss Martian,M'gann M'orzz,Mars,DC Comics,178.49,61.25,F,2006.0,Red,Red,85.0,good
Minna Murray,Wilhelmina Harker,,Wildstorm,,,F,,,,,
Micro Lad,Gim Allon,,DC Comics,183.12,77.22,M,2004.0,Grey,Brown,30.0,moderate
Micah Sanders,Micah Sanders,,NBC - Heroes,,,M,,Brown,Black,10.0,good
Metron,Metron,,DC Comics,185.57,86.04999999999998,M,1971.0,Blue,Black,10.0,high
Meteorite,,,Marvel Comics,,,F,,,,,
Michelangelo,,,IDW Publishing,,,M,,Blue,,15.0,good
Metamorpho,Rex Mason,,DC Comics,185.94,90.48,M,,Black,No Hair,85.0,good
Metallo,John Corben,,DC Comics,196.93,90.94,M,1987.0,Green,Brown,55.0,good
Mera,Mera,,DC Comics,175.36,72.75,F,1963.0,Blue,Red,65.0,average
Meltdown,Tabitha Smith ,"Roanoke, Virginia ",Marvel Comics,165.31,54.5,F,,Blue,Blond,10.0,moderate
Mephisto,,Hell ,Marvel Comics,198.66,140.66,M,,White,Black,85.0,high
Maya Herrera,Maya Herrera,Dominican Republic,NBC - Heroes,,,F,,,,10.0,average
Maxima,,Almerac,DC Comics,180.76,72.84999999999998,F,,Brown,Red,90.0,good
Maverick,Christopher Bradley ,,Marvel Comics,193.06,110.36,M,1995.0,Blue,Black,10.0,good
Medusa,Medusalith Amaquelin Boltagon,"Island of Attilan, Atlantic Ocean ",Marvel Comics,180.5,59.39,F,1965.0,Green,Red,35.0,good
Match,Kent Connor,,DC Comics,,,M,1997.0,Black,Black,95.0,good
Matt Parkman,Matthew Parkman,,NBC - Heroes,,,M,,,,10.0,good
Master Chief,John-117,"Elysium City, Eridanus II",Microsoft,213.92,,M,,Brown,Brown,75.0,good
Master Brood,Currently Colin Wood,Perhaps England,Team Epic TV,183.08,81.2,M,,Blue,Black,,
Marvel Girl,Rachel Anne Summers,,Marvel Comics,170.21,56.06,F,,Green,Red,85.0,good
Martian Manhunter,J'onn J'onzz,,DC Comics,201.86,135.18,M,1955.0,Red,No Hair,95.0,high
Man-Bat,Robert Kirkland Langstrom,"Chicago, Illinois",DC Comics,,,M,1970.0,Brown,Brown,20.0,moderate
Mantis,,Vietnam,Marvel Comics,168.7,52.17,F,,Green,Black,10.0,good
Magus,,Kvch (Technarchy�s home planet) ,Marvel Comics,183.74,,M,1984.0,Black,,100.0,high
Mandarin,Khan,China,Marvel Comics,188.1,97.65,M,1964.0,Blue,White,30.0,high
Magog,David Reid,,DC Comics,,,M,,Blue,Blond,50.0,average
Lyja,Lyja,,Marvel Comics,,,F,,Green,Green,,
Mach-IV,Abner Jenkins,"Baltimore, Maryland ",Marvel Comics,180.36,79.2,M,2005.0,Brown,Brown,40.0,good
Luna,Luna Maximoff,"Attilan, Blue Area of the Moon",Marvel Comics,,,F,,,,10.0,moderate
Man of Miracles,,,Image Comics,,,,,Blue,Silver,100.0,high
Man-Wolf,John Jameson,"New York, New York",Marvel Comics,188.66,90.4,M,,Brown,Auburn,45.0,good
Magneto,Erik Magnus Lensherr,"Unrevealed, probably somewhere in Northern Europe",Marvel Comics,188.8,86.4,M,,Grey,White,80.0,high
Luke Skywalker,Luke Skywalker,Tatooine,George Lucas,168.13,77.0,M,1977.0,Blue,Blond,40.0,good
Longshot,,,Marvel Comics,188.23,36.71,M,1985.0,Blue,Blond,10.0,average
Luke Campbell,Luke Campbell,,NBC - Heroes,,,M,,,,,
Loki,Loki Laufeyson,"Jotunheim, Asgard ",Marvel Comics,193.83,236.11,M,,Green,Black,65.0,high
Living Tribunal,,,Marvel Comics,,,,,Blue,No Hair,100.0,high
Lobo,Lobo,,DC Comics,229.4,288.82,M,,Red,Black,100.0,high
Luke Cage,Luke Cage,"Harlem, New York City",Marvel Comics,198.43,191.98,M,1972.0,Brown,Black,65.0,average
Lightning Lad,Garth Ranzz,,DC Comics,155.07,65.89,M,,Blue,Red,10.0,moderate
Light Lass,Ayla Ranzz,,DC Comics,165.34,54.36,F,,Blue,Red,10.0,moderate
Lex Luthor,Lex Luthor,,DC Comics,188.73,95.22000000000001,M,,Green,No Hair,55.0,high
Lightning Lord,Mekt Ranzz,,DC Comics,191.41,95.89,M,2007.0,Blue,Red,10.0,average
Legion,David Haller,Israel,Marvel Comics,175.86,59.83,M,1985.0,Green / Blue,Black,100.0,average
Leech,,,Marvel Comics,,,M,,,,5.0,moderate
Leader,Samuel Sterns,"Boise, Idaho ",Marvel Comics,178.74,63.34,M,,Green,No Hair,10.0,high
Lady Bullseye,,,Marvel Comics,,,F,,,Black,75.0,high
Leonardo,Leonardo,,IDW Publishing,,,M,,Blue,No Hair,20.0,good
Krypto,Krypto the Superdog,,DC Comics,64.21,18.11,M,1955.0,Blue,White,80.0,low
Kraven the Hunter,Sergei Kravinoff,"Volgograd (formerly Stalingrad), Russia ",Marvel Comics,183.95,106.67,M,1964.0,Brown,Black,35.0,good
Kraven II,Alyosha Kravinoff,,Marvel Comics,191.26,99.03,M,1997.0,Brown,Black,35.0,average
Living Brain,,,Marvel Comics,198.59,360.14,,1964.0,Yellow,,55.0,good
Kool-Aid Man,,,,,,M,,Black,No Hair,20.0,moderate
Klaw,Ulysses Klaw,"Vlaardingen, Netherlands",Marvel Comics,188.61,97.99,M,1966.0,Red,No Hair,40.0,good
Kingpin,Wilson Grant Fisk,New York City area,Marvel Comics,201.92,203.47,M,1967.0,Blue,No Hair,20.0,good
King Shark,Nanaue,,DC Comics,,,M,,Black,No Hair,90.0,average
Lizard,Curtis Connors,"Coral Gables, Florida",Marvel Comics,203.53,230.6,M,,Red,No Hair,55.0,average
Liz Sherman,Elizabeth Anne Sherman,,Dark Horse Comics,,,F,,,,,
King Kong,King Kong,Skull Island,,30.87,9.79,M,1933.0,Yellow,Black,100.0,average
Kylo Ren,Ben Solo,,George Lucas,,,M,2015.0,,,45.0,average
Kilowog,,Bolovax Vik,DC Comics,234.39,324.1,M,1986.0,Red,No Hair,90.0,high
Killer Croc,Waylon Jones,,DC Comics,244.58,356.55,M,1983.0,Red,No Hair,55.0,low
Killer Frost,Caitlin Snow,,DC Comics,,,F,,Blue,Blond,10.0,high
Kid Flash,Wallace Rudolph West,"Blue Valley, Nebraska",DC Comics,,,M,1960.0,Green,Red,5.0,moderate
Kid Flash II,Bartholomew Allen II,,DC Comics,,,M,,,,,
Kick-Ass,Dave Lizewski,New York City,Icon Comics,,,M,,Blue,Blond,10.0,moderate
Kevin 11,Kevin Ethan Levin,,DC Comics,,,M,,,Black,10.0,moderate
Katniss Everdeen,Katniss Everdeen,,,,,F,,,,10.0,average
Kang,Nathaniel Richards,"Other Earth, 31st century ",Marvel Comics,191.3,104.95,M,1964.0,Brown,Brown,50.0,high
Junkpile,,,Marvel Comics,,,M,1993.0,,,40.0,average
Karate Kid,Val Armorr,Orando,DC Comics,173.14,72.23,M,,Brown,Brown,65.0,good
Justice,Vance Astrovik,,Marvel Comics,178.91,81.09999999999998,M,1975.0,Hazel,Brown,10.0,average
Juggernaut,Cain Marko,"Berkeley, California",Marvel Comics,287.95,855.82,M,1965.0,Blue,Red,100.0,average
Judge Dredd,Joseph Dredd,Mega City One,Rebellion,188.09,,M,1977.0,,,20.0,good
Jubilee,Jubilation Lee,"Beverly Hills, California",Marvel Comics,165.92,52.34,F,1989.0,Red,Black,10.0,average
Joker,Jack Napier,,DC Comics,196.07,86.90999999999998,M,1940.0,Green,Green,10.0,high
Jolt,Helen Takahama,"Ojai, California ",Marvel Comics,165.49,49.38,F,1997.0,Blue,Black,15.0,good
John Stewart,John Stewart,,DC Comics,185.83,91.0,M,,Green,Black,85.0,average
Johann Krauss,Johann Krauss,,Dark Horse Comics,,,M,2003.0,,,,
John Constantine,John Constantine,,DC Comics,183.28,,M,1985.0,Blue,Blond,10.0,good
JJ Powell,JJ Powell ,,ABC Studios,,,M,2010.0,,,10.0,high
Jim Powell,Jim Powell,,ABC Studios,,,M,2010.0,,,40.0,moderate
Jyn Erso,Jyn Erso,,George Lucas,,,F,2016.0,Green,Brown,,
Jessica Jones,Jessica Campbell Jones Cage,"Forrest Hills, New York City",Marvel Comics,170.19,56.96,F,1963.0,Brown,Brown,45.0,average
K-2SO,,Galactic Empire,George Lucas,213.88,,M,2016.0,White,No Hair,,
Jigsaw,Billy Russo,,Marvel Comics,188.82,113.14,M,1976.0,Blue,Black,,
Jesse Quick,Jesse Chambers,,DC Comics,,,F,,,,,
Jack-Jack,Jack-Jack Parr,,Dark Horse Comics,71.73,14.67,M,2004.0,Blue,Brown,35.0,low
Jack of Hearts,Jonathan Hart,"New Haven, Connecticut",Marvel Comics,155.18,79.28,M,1976.0,Blue / White,Brown,55.0,good
Isis,Adrianna Tomaz,,DC Comics,,,F,,,,50.0,good
James Bond,James Bond,,Titan Books,183.69,,M,,blue,Blond,15.0,high
Iron Man,Tony Stark,"Long Island, New York",Marvel Comics,198.91,191.88,M,1963.0,Blue,Black,85.0,high
Iron Fist,Danny Rand,,Marvel Comics,180.56,79.56,M,1974.0,Blue,Blond,55.0,good
Husk,Paige Elisabeth Guthrie,"Cumberland, Kentucky",Marvel Comics,170.84,58.07,F,1984.0,Blue,Blond,65.0,good
Huntress,Helena Rosa Bertinelli,,DC Comics,180.44,59.36,F,1989.0,Blue,Black,10.0,good
John Wraith,John Wraith,,Marvel Comics,183.1,88.5,M,1992.0,Brown,Black,15.0,good
Hydro-Man,Morris Bench,"Bronx, New York",Marvel Comics,188.67,119.09,M,1981.0,Brown,Brown,15.0,moderate
Indigo,Iroque,,DC Comics,,,F,2008.0,,Purple,65.0,good
Hollow,Monet St. Croix,,Marvel Comics,170.68,,F,1994.0,Blue,Red,,
Hope Summers,Hope Summers,,Marvel Comics,168.17,48.58,F,2008.0,Green,Red,10.0,good
Hiro Nakamura,Hiro Nakamura,"Tokyo, Japan",NBC - Heroes,,,M,,,,15.0,good
Hulk,Bruce Banner,"Dayton, Ohio",Marvel Comics,244.4,630.9,M,1962.0,Green,Green,100.0,high
Hellcat,Patricia Walker,"Centerville, CA USA",Marvel Comics,173.48,61.48,F,1976.0,Blue,Red,15.0,good
Hellboy,Anung Un Rama,,Dark Horse Comics,259.7,158.57,M,1993.0,Gold,Black,55.0,good
Hela,,,Marvel Comics,213.5,225.81,F,,Green,Black,100.0,good
Heat Wave,Mick Rory,,DC Comics,180.8,81.56999999999998,M,1963.0,Blue,No Hair,10.0,moderate
Hawkwoman II,Sharon Parker,,DC Comics,,,F,,,,,
Hawkwoman,Shayera Hol,,DC Comics,175.12,54.34,F,1961.0,Green,Red,,
Hawkwoman III,Shayera Thal,,DC Comics,170.89,65.97,F,,Blue,Red,,
Hawkman,Carter Hall,,DC Comics,185.32,88.54,M,1940.0,Blue,Brown,65.0,good
Hercules,Heracles,"Thebes, Greece",Marvel Comics,196.14,146.76,M,,Blue,Brown,100.0,good
Hellstorm,Daimon Hellstrom,"Greentown, Massachusetts",Marvel Comics,185.02,81.45,M,,Red,Red,60.0,good
Hawkeye II,Katherine Elizabeth Bishop,"New York City, New York",Marvel Comics,165.42,57.64,F,2005.0,Blue,Black,10.0,average
Hit-Girl,Mindy McCready,,Icon Comics,,,F,,,,10.0,average
Havok,Alexander Summers,"Honolulu, Hawaii",Marvel Comics,183.74,79.51999999999998,M,,Blue,Blond,10.0,good
Harry Potter,Harry James Potter,,J. K. Rowling,,,M,,Green,Black,10.0,good
Hobgoblin,Roderick Kingsley,,Marvel Comics,180.17,83.48999999999998,M,,Blue,Grey,60.0,good
Harley Quinn,Harley Quinn,,DC Comics,170.32,63.23,F,1999.0,Blue,Blond,15.0,high
Hancock,John Hancock,,Sony Pictures,188.9,,M,,Brown,Black,90.0,good
Hawk,Henry Hall,,DC Comics,185.91,89.4,M,1968.0,Red,Brown,40.0,moderate
Han Solo,Han Solo,Corellia,George Lucas,183.1,79.33,M,1977.0,Brown,Brown,10.0,average
Hawkeye,Clint Barton,"Waverly, Iowa",Marvel Comics,191.01,104.93,M,1964.0,Blue,Blond,15.0,average
Hawkgirl,Kendra Saunders,,DC Comics,175.09,61.93,F,1999.0,Green,Red,30.0,average
Green Goblin IV,Phillip Benjamin Urich,,Marvel Comics,178.95,79.86,M,1995.0,Green,Brown,,
Hal Jordan,Hal Jordan,"Coast City, California",DC Comics,188.69,90.57,M,,Brown,Brown,90.0,good
Groot,Groot,,Marvel Comics,701.12,4.82,M,1960.0,Yellow,,85.0,good
Green Goblin III,Barton Hamilton,,Marvel Comics,183.66,88.47,M,,,,,
Gorilla Grodd,Grodd,,DC Comics,198.45,270.64,M,1959.0,Yellow,Black,55.0,high
Granny Goodness,,Apokolips,DC Comics,178.22,115.84,F,,Blue,White,100.0,high
Gravity,Greg Willis,"Sheboygan, Wisconsin",Marvel Comics,178.26,79.73,M,2005.0,Blue,Brown,35.0,average
Greedo,Greedo,Rodia,George Lucas,170.61,,M,,Purple,,10.0,moderate
Goliath,Hank Pym,,Marvel Comics,,,M,,,,,
Goliath,Erik Josten,,Marvel Comics,,,M,,,,,
Goliath,Clint Barton,,Marvel Comics,,,M,,,,,
Green Goblin,Norman Osborn,"Hartford, Connecticut",Marvel Comics,180.83,83.4,M,1964.0,Blue,Auburn,50.0,high
Gog,,,DC Comics,,,M,1981.0,,,35.0,average
Goblin Queen,Madelyne Jennifer Pryor,"Created in Sinister's Labs, Nebraska ",Marvel Comics,168.55,50.38,F,,Green,Red,10.0,good
Green Goblin II,Harold Osborn,New York City,Marvel Comics,178.98,77.01999999999998,M,,Blue,Auburn,55.0,good
Gladiator,Kallark,,Marvel Comics,198.37,268.53,M,,Blue,Blue,100.0,average
Giganta,Doris Zuel,,DC Comics,62.65,630.8,F,1944.0,Green,Red,90.0,high
Giant-Man II,,,Marvel Comics,,,M,,,,,
Ghost Rider II,Daniel Ketch,,Marvel Comics,,,,,,,70.0,average
Giant-Man,Hank Pym,,Marvel Comics,,,M,,,,,
Genesis,Tyler Dayspring,,Marvel Comics,185.66,86.17,M,1994.0,Blue,Blond,70.0,good
Goku,Kakarot,,Shueisha,175.49,62.02,M,,,,100.0,average
Green Arrow,Oliver Queen,,DC Comics,188.03,88.98999999999998,M,1941.0,Green,Blond,15.0,high
Garbage Man,Richard Ethan Morse,,DC Comics,,,M,2011.0,,,85.0,good
General Zod,Dru-Zod,Krypton,DC Comics,,,M,,Black,Black,100.0,high
Gary Bell,Gary Bell,,SyFy,,,M,,,,5.0,good
Gambit,Remy Etienne LeBeau,"New Orleans, Louisiana",Marvel Comics,185.55,81.56999999999998,M,2006.0,Red,Brown,10.0,good
Ghost Rider,Johnny Blaze,"Waukegan, Illinois",Marvel Comics,188.51,99.2,M,1972.0,Red,No Hair,55.0,average
Godzilla,Gojira,,,108.55,90.93,,1954.0,,,100.0,average
Galactus,Galan,(Galan) Taa; (Galactus) the Cosmic Egg ,Marvel Comics,876.84,16.2,M,1966.0,Black,Black,100.0,high
Frenzy,Joanna Cargill,,Marvel Comics,211.4,104.42,F,,Brown,Black,55.0,good
Frigga,Frigga,Place of birth unknown,Marvel Comics,180.7,167.21,F,,Blue,White,,
Franklin Storm,Dr. Franklin Storm,Place of birth unknown,Marvel Comics,188.91,92.11000000000001,,,Blue,Grey,10.0,moderate
Franklin Richards,Franklin  Richards,"New York, New York",Marvel Comics,142.42,45.3,M,,Blue,Blond,80.0,good
Forge,,"Unrevealed, presumably in the American West",Marvel Comics,183.36,81.06,,,Brown,Black,10.0,good
Flash IV,Bartholomew Allen II,,DC Comics,157.27,52.49,M,2003.0,Yellow,Auburn,10.0,good
Flash II,Barry Allen,"Fallville, Iowa",DC Comics,183.41,88.31999999999998,M,1956.0,Blue,Blond,50.0,high
Flash Gordon,Steven Gordon,,,,,M,1966.0,,,70.0,high
Flash III,Wally West,"Blue Valley, Nebraska",DC Comics,183.88,86.48999999999998,M,1960.0,,,10.0,good
Firestorm,Ronald Raymond,,DC Comics,188.81,91.51,M,1978.0,Blue,Auburn,80.0,moderate
Fixer,Paul Norbert Ebersol,"Dayton, Ohio",Marvel Comics,,,,,Red,No Hair,,
Firestar,Angelica Jones,Place of birth unknown,Marvel Comics,173.63,56.41,F,1985.0,Green,Red,10.0,average
Firebird,Bonita Juarez,"Buena Vista, New Mexico",Marvel Comics,165.81,56.8,F,,Brown,Black,10.0,moderate
Fighting Spirit,Carol Carter,,DC Comics,,,F,,,Red,,
Fin Fang Foom,,,Marvel Comics,975.37,19.0,M,,Red,No Hair,85.0,average
Feral,Maria Callasantos,Place of birth unknown,Marvel Comics,175.71,50.73,,,Yellow (without irises),Orange / White,30.0,moderate
Flash,Jay Garrick,"Hibbardsville, Kansas",DC Comics,180.86,81.06999999999998,M,1940.0,Blue,Brown / White,10.0,good
Fallen One II,,,Marvel Comics,,,M,,Black,Blue,85.0,high
Faora,Faora Hu-Ul,,DC Comics,,,F,1977.0,,,95.0,high
Falcon,Sam Wilson,"New York, New York",Marvel Comics,188.18,108.33,M,1969.0,Brown,Black,15.0,moderate
Fabian Cortez,Fabian Cortez,Place of birth unknown,Marvel Comics,196.69,96.02,,,Blue,Brown,,
Firestorm,Jason Rusch,,DC Comics,,,M,,Brown,Black,55.0,average
Exodus,Bennet du Paris ,,Marvel Comics,183.66,88.79999999999998,M,1993.0,Blue,Black,85.0,good
Evil Deadpool,Wade Wilson,,Marvel Comics,188.62,95.91,M,2011.0,White,Red,35.0,good
Enchantress,June Moone,,DC Comics,168.99,57.72,F,,Blue,Blond,15.0,good
Etrigan,Jason Blood,Hell,DC Comics,193.76,203.5,M,1972.0,Red,No Hair,85.0,average
Emma Frost,Emma Frost,"Boston, Massachusetts",Marvel Comics,178.97,65.55,F,,Blue,Blond,65.0,good
Elle Bishop,,,NBC - Heroes,,,F,,Blue,Blond,10.0,average
Elektra,Elektra Natchios,,Marvel Comics,175.21,59.91,F,,Blue,Black,15.0,good
Energy,,,HarperCollins,,,F,,,,60.0,good
Elongated Man,Ralph Dibny,,DC Comics,185.43,80.31999999999998,M,1960.0,Blue,Red,10.0,good
Elastigirl,Helen Parr,,Dark Horse Comics,168.31,56.49,F,2004.0,Brown,Brown,35.0,good
Ego,Ego,The Black Galaxy,Marvel Comics,,,,,,,80.0,high
Dr Manhattan,Jonathan Osterman,,DC Comics,,,M,1986.0,White,No Hair,100.0,high
Drax the Destroyer,Arthur Sampson Douglas,"Burbank, California",Marvel Comics,193.01,306.42,M,1973.0,Red,No Hair,80.0,average
Doomsday,Doomsday,Krypton,DC Comics,244.01,412.67,M,1992.0,Red,White,100.0,good
Donatello,,,IDW Publishing,,,M,,Green,No Hair,15.0,high
Doppelganger,,The Dimension of Manifestations,Marvel Comics,196.66,104.07,M,1992.0,White,No Hair,65.0,low
Electro,Maxwell Dillon,,Marvel Comics,180.17,74.31999999999998,M,1964.0,Blue,Auburn,10.0,good
Doctor Doom II,Kristoff Vernard,"Doomstadt, Latveria ",Marvel Comics,201.45,132.11,M,,Brown,Brown,65.0,high
Doctor Doom,Victor von Doom,"Haasenstadt, Latveria",Marvel Comics,201.52,187.41,M,1962.0,Brown,Brown,35.0,high
Doctor Fate,Kent Nelson,,DC Comics,188.81,89.45,M,1940.0,Blue,Blond,20.0,high
DL Hawkins,Daniel Lawrence Hawkins,,NBC - Heroes,,,M,,,,15.0,average
Diamondback,Willis Stryker,,Marvel Comics,193.35,90.71,M,1972.0,Brown,Black,20.0,average
Destroyer,,Created in Asgard,Marvel Comics,188.79,383.43,M,1965.0,,,95.0,average
Donna Troy,Donna Hinckley Stacey Troy,,DC Comics,175.45,63.12,F,1965.0,Blue,Black,95.0,high
Doc Samson,Leonard Samson,"Tulsa, Oklahoma",Marvel Comics,198.63,171.86,M,1971.0,Blue,Green,80.0,good
Demogoblin,,,Marvel Comics,185.05,95.29,M,1992.0,Red,No Hair,50.0,average
Deathstroke,Slade Joseph Wilson,,DC Comics,193.87,101.98,M,1980.0,Blue,White,30.0,good
Doctor Strange,Stephen Strange,"Philadelphia, Pennsylvania ",Marvel Comics,188.98,81.14,M,1963.0,Grey,Black,10.0,high
Deadpool,Wade Wilson,Canada ,Marvel Comics,188.0,95.32,M,1991.0,Brown,No Hair,35.0,good
Deadshot,Floyd Lawton,,DC Comics,185.55,91.15,M,1950.0,Brown,Brown,10.0,average
Doctor Octopus,Otto Octavius,"Schenectady, New York",Marvel Comics,175.81,110.19,M,1963.0,Brown,Brown,50.0,high
Deadman,Boston Brand,,DC Comics,183.31,90.27,M,1967.0,Blue,Black,10.0,average
Data,Data,,Star Trek,,,M,,Yellow,Brown,35.0,high
Darth Vader,Anakin Skywalker,Tatooine,George Lucas,198.29,135.2,M,1977.0,Yellow,No Hair,50.0,good
Darkstar,Laynia Petrovna,"Minks, USSR",Marvel Comics,168.97,56.27,F,1976.0,Brown,Blond,10.0,moderate
Darkside,,,,,,,,,,,
Darth Maul,,Dathomir,George Lucas,170.13,,M,1999.0,Yellow / Red,,50.0,average
Darkman,Peyton Westlake,,Universal Studios,,,M,1990.0,,,15.0,good
Darkseid,Uxas,,DC Comics,267.37,817.57,M,1970.0,Red,No Hair,100.0,high
Darkhawk,Christopher Powell,"Queens, New York",Marvel Comics,185.18,81.44,M,1991.0,Brown,Brown,35.0,average
Dash,Dashiell Robert Parr,,Dark Horse Comics,122.83,27.31,M,2004.0,Blue,Blond,15.0,moderate
Dagger,Tandy Bowen,"Shaker Heights, Ohio",Marvel Comics,165.69,52.89,F,,Blue,Blond,10.0,good
Deathlok,Luther Manning,,Marvel Comics,193.95,178.92,M,1974.0,Brown,Grey,35.0,good
Cyclops,Scott Summers,"Anchorage, Alaska",Marvel Comics,191.07,88.09999999999998,M,1963.0,Brown,Brown,10.0,good
Cypher,Douglas Aaron Ramsey,Place of birth unknown,Marvel Comics,175.54,68.41,,,Blue,Blond,,
Cyborg Superman,Henry Henshaw,,DC Comics,,,M,1990.0,Blue,Black,95.0,good
Daphne Powell,Daphne Powell,,ABC Studios,,,F,2010.0,,,10.0,moderate
Cy-Gor,,,Image Comics,,,M,,,,100.0,average
Daredevil,Matt Murdock,"New York City, New York",Marvel Comics,183.68,90.45,M,1964.0,Blue,Red,15.0,good
Danny Cooper,,,HarperCollins,,,M,,Brown,Blond,,
Crimson Dynamo,Anton Vanko,,Marvel Comics,180.77,104.54,M,1963.0,Brown,No Hair,65.0,good
Cyborg,Victor Stone,"New York City, New York",DC Comics,198.12,173.81,M,1980.0,Brown,Black,55.0,good
Corsair,Christopher Summers,,Marvel Comics,191.55,79.59,M,,Brown,Brown,,
Cottonmouth,Burchell Clemens,,Marvel Comics,183.34,99.17,M,1985.0,Brown,Black,10.0,average
Copycat,Vanessa Carlysle,,Marvel Comics,183.47,67.55,F,1991.0,Red,White,10.0,average
Curse,Phillip Krahn,,Image Comics,,,M,,,,,
Cogliostro,Cain,,Image Comics,,,M,,,,65.0,good
Crimson Crusader,Rory Destine,"Ravenscroft, England ",Marvel Comics,,,M,1994.0,Blue,Strawberry Blond,60.0,average
Clock King,William Tockman,,DC Comics,178.06,78.01999999999998,M,1960.0,Blue,Black,10.0,good
Cloak,Tyrone Johnson,"South Boston, Massachusetts",Marvel Comics,226.41,70.43,M,,brown,black,10.0,good
Clea,Clea,The Dark Dimension,Marvel Comics,,,,,,White,,
Citizen Steel,Nathan Heywood,,DC Comics,183.21,170.62,M,2007.0,Green,Red,95.0,average
Colossal Boy,,,DC Comics,,,M,,,,,
Chromos,Bernard Embers,"London, England",Team Epic TV,185.45,86.29999999999998,M,,Brown,Red / Grey,,
Cheetah III,Barbara Minerva,,DC Comics,175.91,54.75,F,1987.0,Brown,Brown,100.0,high
Crystal,Crystallia Amaquelin,Attilan ,Marvel Comics,168.93,50.38,F,1965.0,Green,Red,20.0,good
Cheetah,Priscilla Rich,,DC Comics,163.3,50.1,F,1943.0,Green,Blond,10.0,moderate
Cheetah II,Deborah Domaine,,DC Comics,170.55,55.24,F,1980.0,Green,Brown,20.0,moderate
Claire Bennet,Claire Bennet,,NBC - Heroes,,,F,,Blue,Blond,10.0,moderate
Changeling,Kevin Sidney,,Marvel Comics,180.78,81.54999999999998,M,1967.0,Brown,Black,10.0,good
Cecilia Reyes,Dr. Cecilia Reyes,Place of birth unknown,Marvel Comics,170.63,62.27,,1997.0,Brown,Brown,,
Catwoman,Selina Kyle,Gotham City,DC Comics,175.1,61.49,F,,Green,Black,15.0,good
Cat II,,,Marvel Comics,,,F,,,,,
Century,,,Marvel Comics,201.8,97.81,M,1994.0,White,White,80.0,high
Cat,Shirlee Bryant,"Chicago, Illinois",Marvel Comics,173.65,61.58,F,,Blue,Blond,90.0,high
Carnage,Cletus Kasady,,Marvel Comics,185.76,86.12,M,1991.0,Green,Red,65.0,good
Captain Universe,,,Marvel Comics,,,,1979.0,,,95.0,high
Captain Planet,,,Marvel Comics,,,M,,Red,Green,90.0,average
Captain Marvel II,Frederick Christopher Freeman,,DC Comics,175.95,74.45,M,1995.0,Blue,Black,85.0,good
Captain Midnight,,,Dark Horse Comics,,,M,,,,,
Chamber,Jonothon Evan Starsmore,United Kingdom,Marvel Comics,175.98,63.82,M,1994.0,Brown,Brown,10.0,average
Captain Marvel,Carol Danvers,"Boston, Massachusetts",Marvel Comics,180.92,74.23,F,,Blue,Blond,90.0,high
Captain Mar-vell,Mar-Vell,The city of Rad-Nam on the planet Kree-Lar in the Kree Galaxy (Greater Magellanic Cloud),Marvel Comics,188.05,108.86,M,,Blue,Blond,,
Captain Cold,Leonard Snart,,DC Comics,,,M,2012.0,Brown,Brown,10.0,average
Cerebra,Shakti Haddad,,Marvel Comics,,,F,1993.0,,,60.0,good
Captain Britain,Brian Braddock,"Braddock Manor, England",Marvel Comics,198.92,116.08,M,1976.0,Blue,Blond,80.0,good
Captain Atom,Nathaniel Adam,,DC Comics,193.68,90.33,M,,Blue,Silver,95.0,high
Captain Epic,,Canada,Team Epic TV,188.17,,M,,Blue,Brown,,
Cameron Hicks,,,SyFy,,,M,,,,10.0,average
Cannonball,Samuel Zachery Guthrie,"Cumberland County, Kentucky ",Marvel Comics,183.7,81.7,M,1982.0,Blue,Blond,30.0,average
Cable,Nathan Summers,Unrevealed location in the 20th Century United States,Marvel Comics,203.08,158.59,M,,Blue,White,50.0,high
Captain Hindsight,Jack Brolin,,South Park,,,M,,,Black,10.0,moderate
Callisto,Callisto,,Marvel Comics,175.81,74.4,F,,Blue,Black,55.0,good
